Price,Bedrooms,Bathrooms,Size
R1499000,N/A,N/A,317m²
R5920000,N/A,N/A,230m²
R1300000,0.5,1,19m²
N/A,N/A,N/A,N/A
R14500000,3,3.5,268m²
R750000,N/A,N/A,315m²
R1495000,1,1,62m²
R1585000,2,1,85m²
R2095000,2,1,146m²
R12500000,5,2.5,381m²
R1800000,2,1,73m²
R1150000,2,1,63m²
R5995000,3,3,135m²
R24900000,5,4.5,1748m²
R649000,3,2,259m²
R8736000,N/A,N/A,273m²
R15900000,6,5,4058m²
R4100000,4,2.5,892m²
R750000,N/A,N/A,315m²
R2550000,1,1,60m²
R2195000,3,1,540m²
R1495000,3,1,305m²
R2595000,2,1.5,240m²
R1310000,1,1,66m²
R1495000,1,1,60m²
N/A,N/A,N/A,N/A
R380000,2,1,95m²
R2095000,2,2,154m²
R12000000,N/A,N/A,648m²
R895000,N/A,1,39m²
R1750000,1,1,42m²
R6999000,8,7,446m²
R7650000,4,4,392m²
R749000,2,1,110m²
R1600000,0.5,1,29m²
R1895000,N/A,N/A,535m²
R2499000,1,1,71m²
R3700000,2,1.5,100m²
R495000,3,2,346m²
R2800000,2,1,92m²
R599000,N/A,N/A,106m²
R9750000,5,4,2301m²
R2695000,1,1,81m²
R2700000,3,2,496m²
R2200000,1,1,31m²
R2095000,2,2,154m²
R11500000,5,3.5,704m²
N/A,N/A,N/A,N/A
POA,N/A,N/A,1192m²
POA,N/A,N/A,1192m²
R1550000,2,1,110m²
R1350000,3,2,252m²
R2749000,2,1,63m²
R1599000,3,1,447m²
R34500000,4,7,502m²
R1900000,3,1.5,495m²
R2300000,1,1,36m²
R2200000,1,1,35m²
R499000,3,1,144m²
R870000,2,1,45m²
R19950000,3,3.5,285m²
R10660000,N/A,N/A,533m²
R4500000,2,1.5,87m²
R1800000,1,1,50m²
R1150000,N/A,1,30m²
R1450000,4,2,95m²
R1570000,2,2,100m²
R1150000,2,1,42m²
R1998000,4,2,496m²
N/A,N/A,N/A,N/A
R6295000,2,2,184m²
R1095000,2,1,67m²
R2499000,2,1,90m²
R999000,2,1,58m²
R19950000,3,2.5,203m²
R2000000,N/A,N/A,92m²
R2195000,3,2.5,111m²
R4500000,2,2.5,102m²
R9750000,2,2,202m²
R2350000,3,3,548m²
R2295000,2,2,71m²
R2495000,3,2,118m²
R16000000,N/A,N/A,1579m²
R3900000,2,1,83m²
R1395000,1,1,43m²
R2949000,9,4,496m²
R650000,1,1,44m²
R9750000,2,2,202m²
R3900000,2,2,95m²
R2350000,2,2,64m²
R2599999,2,1,73m²
N/A,N/A,N/A,N/A
R1395000,3,2,83m²
R3500000,N/A,N/A,300m²
R21350000,N/A,N/A,700m²
R800000,2,1,50m²
R3250000,1,1,53m²
R1950000,2,1,82m²
R2995000,6,2,520m²
R595000,2,1,71m²
R1490000,1,1,75m²
R1300000,N/A,N/A,67m²
R2850000,2,2,69m²
R4380000,3,2.5,193m²
R3950000,3,2,782m²
R2750000,N/A,N/A,81m²
R45000000,14,14,486m²
R3950000,3,2,782m²
R2195000,3,2,188m²
R5750000,3,3,157m²
R649000,3,1,180m²
R1350000,2,2,352m²
R2000000,0.5,1,40m²
N/A,N/A,N/A,N/A
R760000,0.5,1,34m²
R1295000,2,1.5,89m²
R207000000,5,4,1380m²
R3495000,2,1,128m²
R950000,1,1,51m²
R795000,2,1,60m²
R1000000,0.5,1,43m²
R1550000,3,2,251m²
R2150000,0.5,1,51m²
R849000,2,1,N/A
R1100000,3,1,213m²
R850000,3,2,268m²
R1300000,2,1,81m²
R1825000,0.5,1,33m²
R1825000,0.5,1,33m²
R2299000,2,1,327m²
R1289000,1,1,69m²
R4200000,2,1,84m²
R1095000,2,1,71m²
R2400000,1,1,64m²
R1350000,1,1,N/A
N/A,N/A,N/A,N/A
R3495000,4,1,295m²
R7395000,3,2.5,240m²
R995000,1,1,46m²
R1960000,1,1,N/A
R3495000,4,1,295m²
R3280000,2,2,90m²
R1595000,3,1,183m²
R33000000,5,5.5,522m²
R2395000,2,1,65m²
R19500000,5,3.5,1250m²
R3840000,3,2,756m²
R1999990,2,2,230m²
R9250000,3,3,256m²
R10590000,3,2,180m²
R1985000,4,2,260m²
R2300000,1,1,46m²
R4200000,2,2,99m²
R1495000,1,1,49m²
R7950000,3,2.5,411m²
R1950000,2,1,71m²
R6150000,4,2,1362m²
N/A,N/A,N/A,N/A
R14750000,5,3.5,1511m²
R3450000,4,4,496m²
R6300000,5,8,814m²
R3899000,2,1,140m²
R650000,2,1,54m²
R1925000,3,1,97m²
R2025000,2,1,141m²
R1175000,2,1,N/A
R3000000,N/A,N/A,208m²
R8250000,N/A,N/A,1111m²
R1499000,3,1,352m²
R4990000,2,2,N/A
R1731000,2,1,41m²
R3250000,1,1,62m²
R1499000,3,1,352m²
R2950000,5,3,503m²
R7500000,5,2,414m²
R3495000,2,2,90m²
R1195000,N/A,N/A,496m²
R895000,1,1,35m²
R5300000,2,2,115m²
N/A,N/A,N/A,N/A
R2150000,2,2,95m²
R900000,4,3,156m²
R2350000,2,2,117m²
R3650000,3,3,610m²
R3695000,6,3,628m²
R3650000,2,2,81m²
POA,4,4.5,752m²
R5095000,1,1,83m²
R1120000,2,1,51m²
R1850000,6,3,405m²
R12500000,N/A,N/A,1351m²
R3650000,2,2,81m²
R3900000,N/A,N/A,344m²
R7995000,2,2,121m²
R6450000,4,3,156m²
R1650000,N/A,N/A,53m²
R3650000,1,1,68m²
R49995000,3,3.5,454m²
R1150000,N/A,1,32m²
R2299000,4,2,571m²
R3500000,2,1,60m²
N/A,N/A,N/A,N/A
R3995000,N/A,N/A,407m²
R5200000,5,4,922m²
R1200000,2,1,N/A
R6295000,2,2,77m²
R10925000,3,2.5,123m²
R1599000,2,1,99m²
R3200000,1,1,51m²
R7995000,5,5.5,500m²
R13225000,N/A,N/A,400m²
R1575000,2,1,72m²
R4900000,2,2,88m²
R1395000,3,2,119m²
R1450500,N/A,1,38m²
R29950000,6,6,6920m²
R2500000,2,1,90m²
R2500000,2,1,90m²
R14495000,2,2,140m²
POA,10,N/A,10738m²
R1350000,0.5,1,41m²
R500000,2,1,99m²
R1400000,2,1,78m²
N/A,N/A,N/A,N/A
R6300000,4,4.5,839m²
R4495000,2,2,129m²
R2995000,2,2,78m²
R860000,1,1,3221m²
R1895000,2,1,94m²
R3350000,3,2,892m²
R11495000,2,2,210m²
R499999,2,1,99m²
R1350000,1,1,24m²
R1400000,3,1,113m²
POA,N/A,N/A,565m²
POA,3,2,374m²
R2950000,2,1,95m²
R1299000,5,3,308m²
R10695000,3,3,111m²
R4750000,4,2,519m²
R1649999,2,2,741m²
R1649999,2,2,741m²
R2700000,1,1,41m²
POA,N/A,N/A,4081m²
R3695000,4,2.5,115m²
N/A,N/A,N/A,N/A
R40250000,N/A,N/A,714m²
R5500000,3,2,129m²
R850000,2,1,157m²
R4900000,4,5,778m²
R3950000,2,1,70m²
R6500000,2,2.5,161m²
R1699999,3,1,459m²
R3250000,1,1,62m²
R6980000,4,2,639m²
R2749500,3,1,95m²
R1500000,3,1,496m²
R2695000,3,1,490m²
R699000,2,1,44m²
R2500000,1,1,46m²
R1495000,3,2,198m²
R2850000,3,2,202m²
R1850000,3,2,287m²
R2675000,2,1,496m²
R850000,2,1,157m²
R4900000,4,2,N/A
R1800000,2,1,323m²
N/A,N/A,N/A,N/A
R2350000,2,1,91m²
R980000,2,1,59m²
R960000,N/A,1,43m²
R3150000,3,1,453m²
R1900000,4,1,510m²
R2395000,3,2,363m²
R3295000,3,1,447m²
R3100000,3,2,91m²
R16000000,3,3,150m²
R2395000,1,1,56m²
R1299000,3,1,310m²
R2895000,3,2,480m²
R16500000,6,6,1903m²
R1070000,1,1,43m²
R1385000,0.5,1,27m²
R2569000,2,1,65m²
R1299000,3,1,310m²
R1395000,1,1,478m²
R2095000,4,2,550m²
R9950000,4,3,600m²
R17495000,4,5,700m²
N/A,N/A,N/A,N/A
R2999000,5,2,567m²
R1330000,2,1,54m²
R3695000,5,4,N/A
R2250000,3,2,233m²
R4995000,4,2.5,228m²
R11995000,4,4,866m²
R29500000,6,7,3480m²
R3695000,2,2,72m²
R1265000,3,1,292m²
R5875000,5,3,1075m²
R4995000,4,2.5,228m²
R6500000,4,3,685m²
R1450000,1,1,57m²
R5100000,3,3.5,1048m²
R9200000,2,2,289m²
R5250000,3,3.5,220m²
R2250000,2,1.5,131m²
R4950000,5,5,295m²
R995000,0.5,1,41m²
R26950000,4,4.5,1120m²
R8000000,N/A,N/A,361m²
N/A,N/A,N/A,N/A
R7500000,3,2,1447m²
R2795000,1,1,34m²
R2695000,N/A,N/A,122m²
R6750000,2,2,113m²
R11800000,3,2,N/A
R6900000,N/A,N/A,553m²
R2895000,2,1,166m²
R1395000,2,1,83m²
R2750000,3,1,91m²
R680000,N/A,N/A,N/A
R16900000,4,3.5,1788m²
R3490000,1,1.5,103m²
R1100000,2,1,62m²
R2099000,4,3,434m²
R29500000,4,5,460m²
R2400000,N/A,1,29m²
R2595000,5,2,496m²
R1400000,3,2,425m²
R2595000,5,2,496m²
R900000,1,1,46m²
R1950000,2,1,82m²
N/A,N/A,N/A,N/A
R2650000,6,5,645m²
R2200000,1,1,33m²
R1995000,N/A,N/A,799m²
R949999,2,1,200m²
R1395000,3,2,79m²
R2095000,1,1,46m²
R2995000,6,3,1015m²
R1695000,3,1,60m²
R19000000,N/A,N/A,914m²
R1645000,1,1,55m²
R1375000,1,1,49m²
R1995000,N/A,N/A,799m²
R1700000,1,1,58m²
R1549999,3,2,252m²
R899000,3,1,90m²
R2895000,5,4,773m²
R3995000,7,4,1041m²
R1350000,N/A,N/A,144m²
R1070000,1,1,43m²
R7495000,4,2.5,928m²
POA,N/A,N/A,520m²
N/A,N/A,N/A,N/A
R1329000,2,1,57m²
R1895000,3,1,372m²
R1995000,3,2,117m²
R4795000,3,2,1190m²
R1950000,2,2,79m²
R1950000,2,2,79m²
R3295000,3,1,447m²
R6395000,2,2,208m²
R1550000,1,N/A,N/A
R965000,N/A,1,36m²
R3550000,N/A,N/A,258m²
R3295000,3,3.5,73m²
R2450000,3,2,N/A
R2425000,2,2,85m²
R6550000,4,3.5,446m²
R9550000,3,3,1100m²
R5300000,3,2,205m²
R1310000,2,1,56m²
R3350000,2,1,76m²
R7995000,3,3,807m²
R850000,1,1,44m²
N/A,N/A,N/A,N/A
R4795000,3,2,97m²
R2950000,1,1,44m²
R3495000,2,2,65m²
R3500000,3,2,495m²
R925000,2,1,50m²
R1950000,1,1,40m²
R2250000,3,2,124m²
R899000,1,1,34m²
R1097000,1,1,39m²
R7950000,2,2,116m²
R2195000,3,1,274m²
R12000000,N/A,N/A,4474m²
R899000,1,1,34m²
R650000,2,1,38m²
R8623000,3,2,147m²
R900000,3,1,116m²
POA,N/A,N/A,421m²
R195000000,6,6.5,1600m²
R12995000,6,3,1352m²
R2494800,2,1,58m²
R4450000,2,1,78m²
N/A,N/A,N/A,N/A
R4995000,3,2.5,145m²
R5300000,3,2,496m²
R8500000,3,3,720m²
R4900000,3,3,400m²
R1800000,1,1,62m²
R420000,4,1,176m²
R1850000,2,2,155m²
R8200000,3,3,960m²
R24950000,2,2,250m²
R1250000,3,3,200m²
R28000000,N/A,N/A,9500m²
R4190000,2,1,70m²
R2395000,1,1,52m²
R2299999,5,2,552m²
R2500000,2,1,90m²
R1450000,0.5,1,38m²
R9631250,N/A,N/A,260m²
R1250000,3,3,200m²
R1495000,1,1,59m²
R980000,2,1,44m²
R2575000,3,1.5,496m²
N/A,N/A,N/A,N/A
R2150000,3,1.5,595m²
R6500000,5,4,529m²
R18500000,5,4,2244m²
R4595000,4,3,601m²
R33250000,5,7,8094m²
R1395000,2,1,83m²
R6500000,7,5,402m²
R849000,2,1,45m²
R1280000,3,1,291m²
R2600000,6,2,220m²
R1400000,1,2,62m²
R650000,1,1,36m²
R46000000,6,6.5,334m²
R1550000,1,1,62m²
R2995000,4,4,150m²
R1800000,2,1,N/A
R2600000,6,2,220m²
R1095000,3,1,180m²
R5300000,2,2,123m²
R3700000,N/A,N/A,153m²
R1550000,1,1,41m²
N/A,N/A,N/A,N/A
R1950000,1,1,57m²
R1799000,2,1,120m²
R3500000,N/A,N/A,240m²
R3500000,N/A,N/A,N/A
R4500000,2,2,90m²
R3899000,4,2,177m²
R2250000,3,2.5,194m²
R2750000,4,2,N/A
R1395000,2,1,57m²
R43700000,3,3,271m²
R3700000,1,1,65m²
R3995000,2,2,56m²
R3895000,5,3,387m²
POA,4,5,706m²
R1649000,3,2,249m²
R2500000,1,1,44m²
R3300000,3,2,193m²
R2100000,0.5,1,45m²
R1995000,N/A,1,41m²
R2750000,4,2,N/A
R2750000,2,1,112m²
N/A,N/A,N/A,N/A
R1795000,N/A,N/A,N/A
R2995000,3,2,464m²
R2600000,3,2,400m²
R10000000,N/A,N/A,1033m²
R1795000,3,2,252m²
R1680000,1,1,44m²
R899000,2,1,206m²
R19950000,3,3.5,253m²
R1895000,1,1,45m²
R1700000,0.5,1,42m²
R2695000,2,1,64m²
R6800000,4,4,980m²
R2695000,2,1,64m²
R4499000,2,1,101m²
R2995000,2,1,83m²
R5599000,4,3,942m²
R5495000,2,2,98m²
R5300000,3,2,N/A
R1585000,0.5,1,25m²
R4950000,3,2,288m²
R1600000,N/A,N/A,N/A
N/A,N/A,N/A,N/A
R7500000,2,2,522m²
R2995000,2,1.5,73m²
R1850000,4,2.5,620m²
R1850000,2,1,292m²
R10995000,4,2,854m²
R795000,2,1,52m²
R1950000,6,2,338m²
R5200000,4,4,586m²
R2150000,N/A,N/A,233m²
R2175000,2,1,78m²
R799000,2,1,161m²
R2795000,3,2,615m²
R2700000,3,2,114m²
R2645000,2,2,335m²
R2150000,4,2,509m²
R2995000,4,2,464m²
R1950000,6,2,338m²
R25950000,5,4,765m²
R2095000,2,1.5,97m²
R6500000,3,2,168m²
R1400000,2,1,52m²
N/A,N/A,N/A,N/A
R4100000,4,3.5,455m²
R600000,3,1,38m²
R3299000,2,2.5,150m²
R12000000,N/A,N/A,648m²
R5350000,2,2,N/A
R2650000,2,1,545m²
R1299000,1,1,N/A
R810000,2,1,57m²
R2350000,2,2,84m²
R869000,2,1,44m²
R4695000,4,5,495m²
R5495000,2,2,155m²
R2250000,1,1,56m²
R14495000,3,3.5,279m²
R945000,1,1,39m²
R17500000,8,5.5,4431m²
R2999000,2,2,91m²
POA,N/A,N/A,467803m²
R5350000,2,2,N/A
R2195000,3,1,95m²
R2090000,1,1,47m²
N/A,N/A,N/A,N/A
R7595000,6,4,873m²
R850000,3,1.5,306m²
R10800000,3,2.5,910m²
R2100000,1,1,46m²
R1750000,N/A,N/A,N/A
R10000000,N/A,N/A,540m²
R3500000,3,2,780m²
R4250000,3,2,167m²
R4900000,4,2,684m²
POA,6,3,1106m²
R4750000,2,2,93m²
R2750000,2,1,87m²
R945000,2,1,46m²
R1080000,2,1,46m²
R1495000,1,1,52m²
R1950000,4,2,219m²
R6495000,4,3,595m²
R15995000,3,3,190m²
R1080000,2,1,46m²
R2695000,2,2,77m²
R28495000,4,4.5,N/A
N/A,N/A,N/A,N/A
R9999000,1,2,120m²
R2995000,3,3,591m²
R2195000,1,1,65m²
R1395000,2,1,83m²
R875000,1,1,48m²
R70000000,5,4,870m²
R2195000,1,1,65m²
R3350000,2,2,80m²
R6499999,9,10,688m²
R849000,3,1.5,N/A
R1350000,3,2,195m²
R1195000,2,1,216m²
R290000,2,1,N/A
R2875000,7,3,770m²
R3295000,3,3.5,175m²
R1280000,3,2,106m²
R9995000,3,2.5,206m²
R1150000,1,1,62m²
R8450000,4,4,965m²
R2700000,1,2,58m²
R4850000,3,2,109m²
N/A,N/A,N/A,N/A
R1150000,2,1,51m²
R1850000,1,1,45m²
R1495000,2,1,88m²
R1450000,1,1,43m²
R33000000,2,2,161m²
R2050000,2,1,60m²
R3195000,3,2,235m²
R12000000,N/A,N/A,638m²
R2500000,2,1,67m²
R775000,2,1,N/A
R775000,2,1,N/A
R2195000,3,1,521m²
R4650000,4,3.5,683m²
R5500000,1,1,72m²
R7500000,3,2.5,330m²
R18995000,4,4,248m²
R2900000,1,1,72m²
R1250000,2,1,224m²
R5495000,2,2.5,109m²
R595000,1,1,22m²
R2250000,2,1,172m²
N/A,N/A,N/A,N/A
R1250000,2,1,66m²
R2595000,6,3,598m²
R10550000,18,5,N/A
R4100000,2,2,113m²
R925000,1,1,34m²
R6400000,N/A,N/A,1890m²
R12595000,2,2,245m²
R1344000,N/A,1,28m²
R10995000,4,3.5,250m²
R1300000,1,1,67m²
R2595000,6,3,598m²
R1250000,3,3,198m²
R2495000,1,1,65m²
R6250000,3,2,285m²
R10900000,3,3,456m²
R2250000,1,1,59m²
R1350000,1,1,47m²
R1290000,5,N/A,444m²
R5695000,5,4,720m²
R1350000,2,1,60m²
R11500000,5,3,5656m²
N/A,N/A,N/A,N/A
R10995000,4,2,1071m²
R1175000,2,1,56m²
R2999000,5,2,567m²
R1950000,3,2,116m²
R2050000,1,1,41m²
R4500000,2,3,99m²
R3999000,4,2,587m²
R1000000,1,1,59m²
R1650000,1,1,65m²
R18900000,6,5,900m²
R2500000,1,1,115m²
R10000000,N/A,N/A,1001m²
R2050000,3,2,297m²
R7200000,5,3,1406m²
R1780000,N/A,N/A,82m²
R1295000,3,2,N/A
R925000,1,1,39m²
R1790000,1,1,50m²
R850000,2,1,N/A
R1595000,2,2,75m²
R925000,1,1,39m²
N/A,N/A,N/A,N/A
R3800000,2,2,179m²
R10400000,5,6,1161m²
R2495000,2,1,265m²
R3800000,6,4,620m²
R15950000,6,3,1233m²
R2295000,4,2,495m²
R1770000,3,1,N/A
R780000,2,1,44m²
R1995000,1,1,70m²
R9990000,4,3.5,631m²
R3900000,3,2,96m²
R2095000,4,2,N/A
R3392500,4,3,140m²
R1899999,2,1,68m²
R1195000,2,1,55m²
R5950000,2,1,67m²
R10400000,5,6,1161m²
R2600000,3,2,499m²
R3450000,3,1.5,95m²
R2400000,4,3,396m²
R11950000,3,2,250m²
N/A,N/A,N/A,N/A
R6500000,4,3,606m²
R32000000,3,2.5,249m²
R1650000,2,1,65m²
R2499000,4,2,485m²
R1849000,3,2,245m²
R2200000,2,1.5,88m²
R1495000,3,2,266m²
R1895000,3,2,506m²
R1850000,4,1.5,559m²
R4295000,4,3,662m²
R1150000,0.5,1,36m²
R8250000,3,3,208m²
R4000000,N/A,N/A,565m²
R1495000,3,2,266m²
R950000,3,2,288m²
R2650000,4,4,421m²
R2250000,3,2,495m²
R24900000,2,2,262m²
R9188000,N/A,N/A,225m²
R2400000,2,1,345m²
R1395000,2,1,64m²
N/A,N/A,N/A,N/A
R1650000,2,1,68m²
R1250000,N/A,N/A,61m²
R1900000,2,1,73m²
R7450000,2,2.5,92m²
R2495000,4,3,494m²
R4650000,4,3,838m²
R3650000,3,2,715m²
R27000000,N/A,N/A,3450m²
R1350000,2,1,63m²
R5900000,8,5,420m²
R2100000,3,1,755m²
R32000000,5,6.5,1025m²
R4095000,3,2,927m²
R6990000,2,2.5,100m²
R750000,3,2,203m²
R1195000,1,1,57m²
R1795000,4,2,325m²
R1695000,2,1,62m²
R1350000,2,1,72m²
R1650000,2,1,68m²
R4195000,3,2,954m²
N/A,N/A,N/A,N/A
R7850000,2,2.5,100m²
R4295000,5,4,985m²
R1300000,1,1,41m²
R9500000,N/A,N/A,9.9ha
R3500000,3,2,595m²
R280000,3,3,170m²
R16675000,3,3,214m²
R4250000,2,3,156m²
R8995000,4,3.5,191m²
R9500000,N/A,N/A,1048m²
R23995000,7,5,2644m²
R1050000,2,1,55m²
R280000,3,3,170m²
R1100000,2,1,224m²
R50000000,N/A,N/A,2354m²
R1700000,2,2,141m²
R2249000,3,1,532m²
R499000,1,1,31m²
R29995000,N/A,N/A,883m²
R1395000,1,1,36m²
POA,N/A,N/A,1500m²
N/A,N/A,N/A,N/A
R3900000,3,2,90m²
R800000,1,1,N/A
R1695000,2,1,65m²
R895000,2,1,59m²
R45000000,16,16.5,1768m²
R12664000,N/A,N/A,483m²
R8250000,3,3.5,217m²
R22950000,6,5.5,296m²
R2300000,2,1,205m²
R5250000,1,1,88m²
R3900000,N/A,N/A,N/A
R10650000,3,3.5,146m²
R930000,1,1,46m²
R1550000,4,2,300m²
R29900000,6,8,6920m²
R1050000,1,1,38m²
R1449000,2,2,100m²
R930000,1,1,46m²
R7000000,3,3,144m²
R5200000,3,2,187m²
R2350000,4,2,421m²
N/A,N/A,N/A,N/A
R1800000,2,1,85m²
R1100000,6,3,184m²
R895000,2,1,45m²
R2499999,10,5,495m²
R350000,2,1,123m²
R3295000,3,2,853m²
R320000,2,1,97m²
R895000,2,1,45m²
R4950000,4,2,803m²
R3200000,6,2,N/A
R1250000,2,1,62m²
R1495000,2,1,271m²
R985000,2,1,325m²
R2099000,3,2,367m²
R1690000,1,1,41m²
R1250000,2,1,62m²
R18500000,5,4,915m²
R3500000,1,1,63m²
R2750000,4,3,104m²
R3800000,2,2,91m²
R3685000,2,2,208m²
N/A,N/A,N/A,N/A
R950000,3,2,N/A
R1599000,1,1,31m²
R2995000,2,2,67m²
R1495000,1,1,52m²
R1700000,2,1,87m²
R1645000,1,1,50m²
R1895000,1.5,1,55m²
R3150000,2,2,168m²
R1249000,3,2,124m²
POA,N/A,N/A,861m²
R17900000,4,4.5,2114m²
R1700000,2,1,87m²
R10000000,N/A,N/A,6737m²
R1695000,2,1,79m²
R1575000,3,1,127m²
R5500000,2,2,139m²
R2650000,7,4,620m²
R1200000,2,2,52m²
R2095000,1,1.5,63m²
R2495000,2,2,112m²
R7700000,2,2,100m²
N/A,N/A,N/A,N/A
R7495000,3,1,442m²
R7750000,2,2,N/A
R2490000,2,2,75m²
R720000,2,1,53m²
R1200000,2,1,52m²
R3195000,3,2,156m²
R7000000,N/A,N/A,531m²
R1250000,1,1,35m²
R5000000,2,1,77m²
R1250000,1,1,35m²
R2300000,N/A,N/A,201m²
R1850000,3,1,625m²
R5650000,7,6,1137m²
R1700000,N/A,N/A,155m²
R1295000,2,1,70m²
R3750000,2,2,81m²
R1525000,2,1,83m²
R1799999,0.5,1,49m²
R42500000,5,4.5,330m²
R4495000,5,4,496m²
R1100000,2,1,58m²
N/A,N/A,N/A,N/A
R4500000,2,2,75m²
R4195000,2,2,121m²
R1900000,2,1,68m²
R1329000,N/A,1,53m²
R1950000,1,1,144m²
R545000,2,1,84m²
R3250000,2,1,97m²
R2180000,4,2,N/A
R1540000,1,1,44m²
R3690000,3,2,680m²
R3100000,2,1,96m²
R1790000,2,2,277m²
R8950000,3,2,205m²
R2695000,2,2,67m²
R1329000,N/A,1,53m²
R722000,2,1,275m²
R3500000,2,2,250m²
R4995000,5,3,858m²
R15400000,4,2.5,4060m²
R4250000,2,2,109m²
R42500000,4,4,443m²
N/A,N/A,N/A,N/A
R4250000,2,1,87m²
R2100000,1,1,71m²
R660000,3,2,155m²
R699000,2,1,257m²
R4395000,5,5,992m²
R1795000,3,1,108m²
R32950000,4,4.5,633m²
R16500000,N/A,N/A,2537m²
R3395000,2,1,72m²
R290000,5,2,170m²
R4790000,4,3,497m²
R4395000,5,5,992m²
R60000000,6,6,574m²
R19705440,N/A,N/A,673m²
R1422000,1,1,28m²
R1313500,1,1,37m²
R9300000,3,2,663m²
R4950000,3,2,504m²
R4999995,2,3,112m²
R1495000,2,2,161m²
R1850000,1,1,57m²
N/A,N/A,N/A,N/A
R2450000,1,1,73m²
POA,N/A,N/A,207m²
R1250000,0.5,1,67m²
R6695000,2,2,N/A
R28000000,N/A,N/A,29377m²
R1195000,2,1,70m²
R5500000,4,4,532m²
R3500000,3,2.5,240m²
R5395000,2,2,91m²
R13000000,N/A,N/A,1351m²
R6695000,2,2,N/A
R7995000,3,3.5,200m²
R5295000,2,2,105m²
R24950000,4,4.5,631m²
R2250000,2,2,65m²
R2800000,3,2,N/A
R1550000,0.5,1,37m²
R3850000,3,2,873m²
R9000000,4,4,235m²
R2450000,3,2,297m²
R950000,1,1,49m²
N/A,N/A,N/A,N/A
R3280000,2,2,90m²
R11750000,3,3.5,122m²
R3295000,1,1,N/A
R4990000,2,3,128m²
R1995000,5,2,434m²
R1650000,2,1,74m²
R3300000,3,1.5,494m²
R2925000,2,2,92m²
R1185000,2,1,45m²
R2495000,1,1,74m²
R450000,4,1,N/A
R2280000,N/A,N/A,114m²
R9990000,3,3.5,203m²
R2800000,1,1,64m²
R3650000,1,1,67m²
R29950000,4,5.5,460m²
R4650000,2,2,126m²
R1650000,2,1,74m²
R8400000,N/A,N/A,760m²
R6950000,3,3,263m²
R5795000,3,3,109m²
N/A,N/A,N/A,N/A
R14995000,2,2.5,160m²
R4895000,2,2,86m²
R3099000,3,2.5,195m²
R1495000,1,1,41m²
R1779000,1,1,65m²
R13500000,4,4,490m²
R1699000,3,2,305m²
R3250000,1,1,64m²
R1799999,0.5,1,68m²
R1595000,1,1,44m²
R4500000,N/A,N/A,329m²
R1595000,2,1,81m²
R1300000,2,1,250m²
POA,N/A,N/A,621m²
POA,N/A,N/A,621m²
R1995000,3,2,481m²
R1850000,3,2,625m²
R1699000,3,3,241m²
R4995000,2,2,129m²
R9550000,N/A,N/A,376m²
R1790000,2,1,75m²
N/A,N/A,N/A,N/A
R2875000,3,2,N/A
R6480000,3,3.5,490m²
R2895000,3,2,521m²
R1295000,2,1,70m²
R2650000,2,1.5,343m²
R850000,1,1,34m²
R3600000,2,2,3742m²
R16950000,4,4.5,559m²
R4295000,1,1,89m²
R1389000,1,1,N/A
R1950000,0.5,1,33m²
R2120000,1,1,60m²
R350000,2,1,160m²
R5250000,2,2,89m²
R1095000,2,1,60m²
R9995000,2,2.5,100m²
R2400000,3,1.5,621m²
R12000000,N/A,N/A,706m²
R1950000,0.5,1,33m²
R1250000,1,1,500m²
R36950000,5,5.5,1586m²
N/A,N/A,N/A,N/A
R1995000,3,2,104m²
R1400000,1,1,36m²
R1950000,3,2,116m²
R3349000,4,3,600m²
R10995000,2,2,130m²
R5995000,4,3,1596m²
R11500000,2,2,130m²
R2185000,6,3,600m²
R1985000,4,2,260m²
R1825000,1,1,52m²
R2195000,1,1,N/A
R1695000,3,1.5,215m²
R715000,2,1,46m²
R595000,2,1,N/A
R2800000,2,2,3742m²
R5995000,2,2,95m²
R1400000,1,1,36m²
R1545000,1,1,43m²
R2450000,3,1,496m²
R15000000,N/A,N/A,2127m²
R3190000,3,1,388m²
N/A,N/A,N/A,N/A
R2395000,4,3,632m²
R1595000,2,1,78m²
R2500000,N/A,N/A,123m²
R2950000,2,2,88m²
R1290000,1,1,58m²
R1199999,0.5,1,32m²
R4500000,2,2,74m²
R2850000,2,1,425m²
R2650000,3,2,88m²
R3500000,3,1.5,112m²
R2100000,2,1,71m²
R4650000,3,2,139m²
R11599000,6,4,388m²
R44000000,5,5,1023m²
R2850000,2,2,N/A
R1199999,0.5,1,32m²
R2700000,1,1,66m²
R1250000,1,1,42m²
R3295000,1,1,53m²
R2295000,2,1,86m²
R2395000,1,1,68m²
N/A,N/A,N/A,N/A
R1350000,2,2,47m²
R2899000,1,1,84m²
R1284000,0.5,1,52m²
R2995000,2,1,93m²
R5750000,4,4,554m²
R1250000,0.5,1,62m²
R1750000,3,1,404m²
R7500000,3,3.5,374m²
R1450000,2,1,73m²
R1250000,0.5,1,62m²
R11800000,4,3,495m²
R2650000,3,2,421m²
R2100000,N/A,N/A,95m²
R2995000,4,3,496m²
R1899000,7,3,496m²
R1199000,3,1,200m²
R4950000,N/A,N/A,420m²
R850000,2,1,57m²
R5995000,1,1,82m²
R4200000,3,2,116m²
R2800000,N/A,N/A,144m²
N/A,N/A,N/A,N/A
R3890000,2,1,120m²
R2100000,2,1,78m²
R4200000,3,2,486m²
