Price,Bedrooms,Bathrooms,Size
N/A,N/A,N/A,N/A
R2990000,2,1,75m²
R12600000,N/A,N/A,724m²
R13500000,N/A,N/A,1750m²
R9250000,4,6,1400m²
R2495000,1,1,73m²
R1549000,2,N/A,42m²
R1650000,3,3,220m²
R1700000,1,1,31m²
R2795000,1,1,51m²
R1850000,3,1,595m²
R1795000,3,2,221m²
R7695000,2,2,108m²
R2950000,2,1,82m²
R7695000,2,2,108m²
R8500000,N/A,N/A,2046m²
R1150000,1,1,N/A
R13000000,N/A,N/A,2400m²
R2799999,4,2,693m²
R1695000,N/A,1,48m²
R1790000,2,2,73m²
R4195000,4,2.5,412m²
N/A,N/A,N/A,N/A
R1675000,0.5,1,27m²
R1999990,2,2,230m²
R1495000,2,1,62m²
R6950000,N/A,N/A,660m²
R50000000,N/A,N/A,2354m²
R2795000,3,1,434m²
R6955000,2,2,107m²
R820000,2,1,44m²
R5500000,4,3,239m²
R2950000,1,1,47m²
R2495000,2,1,130m²
R4595000,5,2.5,967m²
R1999990,2,2,230m²
R3100000,3,2,165m²
R1159000,0.5,1,27m²
R2165000,1,1,46m²
R3495000,3,1.5,720m²
R2250000,3,1,548m²
R4400000,2,2,81m²
R2100000,0.5,1,34m²
R68000000,6,6,1376m²
N/A,N/A,N/A,N/A
R2399000,1,1,42m²
R2950000,4,2,500m²
R5395000,1,1,83m²
R1200000,1,1,49m²
R26000000,10,7,6151m²
R1950000,3,1,169m²
R1200000,2,1,54m²
R26950000,3,2,266m²
R2980000,3,2,N/A
R1750000,2,1.5,82m²
R9250000,2,2,113m²
POA,4,1,481m²
R6200000,2,1,398m²
R4700000,4,2.5,1047m²
R2300000,2,1,69m²
R3200000,2,1.5,96m²
R1699000,3,2.5,222m²
R5395000,1,1,83m²
R1275000,2,1,77m²
R1750000,1,1,53m²
R1750000,2,2,80m²
N/A,N/A,N/A,N/A
R3650000,3,2,124m²
R3950000,4,3,549m²
R2100000,N/A,N/A,95m²
R1360000,2,1.5,210m²
R3495000,2,1,77m²
R3500000,2,2,99m²
R10000000,2,2,106m²
R1250000,4,2,260m²
